0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	0
2	0
2.1	0
2.2	0
2.3	0
2.4	0
2.5	0
2.6	0
2.7	0
2.8	0
2.9	0
3	0.000289828
3.1	0.0134123
3.2	0.140107
3.3	0.575977
3.4	1.30281
3.5	2.00871
3.6	2.4276
3.7	2.53933
3.8	2.41875
3.9	2.19744
4	1.95251
4.1	1.71724
4.2	1.5081
4.3	1.33566
4.4	1.19292
4.5	1.07798
4.6	0.984277
4.7	0.908725
4.8	0.847625
4.9	0.798235
5	0.762452
5.1	0.736087
5.2	0.718972
5.3	0.710075
5.4	0.703278
5.5	0.707184
5.6	0.71279
5.7	0.733136
5.8	0.756377
5.9	0.781997
6	0.814142
6.1	0.848126
6.2	0.888727
6.3	0.928455
6.4	0.968792
6.5	1.00876
6.6	1.04974
6.7	1.08916
6.8	1.1198
6.9	1.14959
7	1.17061
7.1	1.18576
7.2	1.18874
7.3	1.18263
7.4	1.17189
7.5	1.1498
7.6	1.12122
7.7	1.09335
7.8	1.06468
7.9	1.03553
8	1.00935
8.1	0.985668
8.2	0.963548
8.3	0.947414
8.4	0.933621
8.5	0.92119
8.6	0.917372
8.7	0.913583
8.8	0.91261
8.9	0.912188
9	0.917691
9.1	0.925151
9.2	0.934417
9.3	0.945197
9.4	0.958476
9.5	0.969395
9.6	0.983645
9.7	0.994411
9.8	1.00509
9.9	1.01593
10	1.02551
10.1	1.03204
10.2	1.0394
10.3	1.04481
10.4	1.04667
10.5	1.04737
10.6	1.04496
10.7	1.04312
10.8	1.03883
10.9	1.03336
11	1.02736
11.1	1.02389
11.2	1.01788
11.3	1.01022
11.4	1.00297
11.5	0.994077
11.6	0.987259
11.7	0.983608
11.8	0.979514
11.9	0.975748
12	0.97385
12.1	0.971884
